Titel,Schauspieler,Produktionsfirma,Jahr,Länge,Kassette,DVD
“The Point Men”,Christopher Lambert,Columbia TriStar,2001,88 min.,515,1256
“The Presidio”,"Sean Connery, Mark Harmon, Meg Ryan, Jack Warden, Mark Blum",Paramount Pictures,1987,93 min.,270,638
“The Quest – Die Heraus-forderung”,"Jean-Claude Van Damme, Roger Moore",Jugendfilm Verleih,1996,90 min.,400,1364
“The Replacement Killers”,"Chow Yun-Fat, Jürgen Prochnow, Til Schweiger",Columbia Pictures,1997,83 min.,240,1467
“The Ring Two”,"Naomi Watts, David Dorfman, Elizabeth Perkins, Gary Cole, Sissy Spacek",DreamWorks Pictures,2005,105 min.,,443
“The Running Man”,"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Jim Brown, Mick Fleetwood, Kurt Fuller, Lin Shaye",TriStar,1987,92 min.,,1399
“The School of Rock”,"Jack Black, Joan Cusack, Frank Whaley",Paramount Pictures,2003,105 min.,,237
“The Scorpion King”,"Dwayne Johnson, Michael Clarke Duncan, Ralf Moeller",Universal Pictures,2002,87 min.,,1776
“The Sentinel – Wem kannst du trauen?”,"Michael Douglas, Kiefer Sutherland, Eva Longoria Parker, Kim Basinger, Raynor Scheine",20th Century Fox,2006,104 min.,,Kauf
“The Sex Monster”,"Mariel Hemingway, Stephen Baldwin, Robin Curtis (I)",Trimark Pictures,1999,93 min.,415,871
“The Signal”,"Brenton Thwaites, Laurence Fishburne, Lin Shaye",Focus Features,2014,96 min.,,
“The Sixth Sense”,"Bruce Willis, Haley Joel Osment, Donnie Wahlberg",Hollywood Pictures,1999,103 min.,352,Kauf
“The Spirit”,"Gabriel Macht, Samuel L. Jackson, Eva Mendes, Scarlett Johansson, Richard Portnow",Lionsgate,2008,98 min.,,1359
“The Terminator”,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield, Lance Henriksen, Earl Boen, Bill Paxton",Orion Films,1984,99 min.,421,1024
“The Time Machine”,"Guy Pearce, Mark Addy, Orlando Jones, Jeremy Irons",Warner Bros./ DreamWorks Pictures,2002,92 min.,,Kauf
“The Tourist”,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton, Steven Berkoff, Rufus Sewell, Ralf Moeller, Igor Jijikine",Columbia Pictures / Studio Canal,2010,103 min.,,Kauf (BD)
“The Truman Show”,"Jim Carrey, Ed Harris, Laura Linney",Paramount Pictures,1998,99 min.,249,Kauf
“The Truth About Charlie”,"Thandie Newton, Mark Wahlberg, Tim Robbins, Simon Abkarian, Lisa Gay Hamilton, Ted Levine",Universal Pictures,2002,100 min.,,63
“The Untouchables”,"Kevin Costner, Sean Connery, Robert de Niro, Andy Garcia",Paramount Pictures,1987,114 min.,281,66
“The Watcher”,"James Spader, Keanu Reeves, Marisa Tomei, Ernie Hudson",Universal Pictures,2000,93 min.,412,1592
“The Way of the Gun”,"Ryan Phillippe, Benicio Del Toro, Juliette Lewis, James Caan",Artisan Entertainment,2000,114 min.,,
“The Wedding Planner”,"Jennifer Lopez, Matthew McConaughey, Judy Greer, Joanna Gleason, Kevin Pollak, Fred Willard, Kathy Najimy",Columbia Pictures,2001,99 min.,,50
“The Wicker Man”,"Nicolas Cage, Ellen Burstyn, Kate Beahan, Leelee Sobieski, Diane Delano, Aaron Eckhart, James Franco, Jason Ritter",Warner Bros.,2006,102 min.,,Digital Copy
“The Wolf of Wall Street”,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Rob Reiner, Jon Favreau, Christine Ebersole, Ethan Suplee",Paramount Pictures / Universal Pictures,2013,179 min.,,Kauf (BD)
“Three Kings – Es ist schön König zu sein”,"George Clooney, Mark Wahlberg, Ice Cube, Cliff Curtis, Nora Dunn, Mykelti Williamson",Warner Bros.,1999,110 min.,,896
“Ticker”,"Tom Sizemore, Dennis Hopper, Steven Seagal, Nas, Ice-T",Artisan Entertainment,2001,88 min.,474,
“Timecop”,"Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill",Universal Pictures,1994,94 min.,462,110
“Timecop – The Berlin Decision”,"Jason Scott Lee, Thomas Ian Griffith, Robert Carradine",Universal Studios Home Video,2003,78 min.,,60
“Timeline”,"Paul Walker, Frances O’Connor, Neal McDonough, Richard Donner",Paramount Pictures,2003,111 min.,,254
“Tin Cup”,"Kevin Costner, Rene Russo, Don Johnson, Cheech Marin, Rex Linn, Mickey Jones",Warner Bros.,1996,129 min.,,691/ Kauf
“Titanic”,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Bill Paxton, Bernard Hill, David Warner, Victor Garber, Jonathan Hyde, Suzy Amis, Ioan Gruffudd, Michael Ensign, James Cameron",20th Century Fox/ Paramount Pictures,1997,187 min.,,450/ Kauf
“Tod im Spiegel”,"Tom Berenger, Bob Hoskins, Greta Scacchi, Corbin Bernsen, Theodore Bikel",Metro Goldwyn Mayer,1991,94 min.,420,
“Tödliche Nähe”,"Bruce Willis, Sarah Jessica Parker, Dennis Farina, Tom Sizemore",Columbia Pictures,1993,98 min.,457,
“Tödliche Zündung”,"Bill Pullman, Lena Olin, Michael Ironside",GFT Entertainment,2001,94 min.,515,
"""Tödliches Vertrauen""","John Travolta, Vince Vaughn, Teri Polo, Steve Buscemi, Chris Ellis",Paramount Pictures,2001,89 min.,,Digital Copy
“Tomcats”,"Shannon Elizabeth, Jake Busey, Horatio Sanz, Bernie Casey, David Ogden Stiers, Dakota Fanning",Columbia Pictures,2001,91 min.,,
“Tootsie”,"Dustin Hoffman, Bill Murray, George Gaynes, Geena Davis",Columbia Pictures,1982,111 min.,294,73
“Top Gun – Sie fürchten weder Tod noch Teufel”,"Tom Cruise, Val Kilmer, Tom Skerritt, Michael Ironside, James Tolkan, Meg Ryan, Tim Robbins",Paramount Pictures,1986,97 min.,362,297
“Top Secret!”,"Val Kilmer, Omar Sharif, Ian McNeice",Paramount Pictures,1984,86 min.,298,588
“Torus – Das Geheimnis aus einer anderen Welt”,"David Keith, Brian Thompson, Michael Cavanaugh, James Avery, James Hong, Marc McClure",Unified Film Organization,2000,93 min.,,889
“Total Recall – Die totale Erinnerung”,"Arnold Schwarzenegger, Sharon Stone, Rachel Ticotin, Ronny Cox, Michael Ironside, Marshall Bell, Mickey Jones",TriStar,1990,106 min.,,684
“Total Recall”,"Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston, Bill Nighy, John Cho, Ethan Hawke",Columbia Pictures,2012,130 min.,,Kauf (BD)
“Tötet Mrs. Tingle”,Lesley Ann Warren,Dimension Films/ Miramax Films,1999,90 min.,332,Kauf
“Toy Story”,,Walt Disney Pictures,1995,78 min.,244,168
“Toy Story 2”,,Walt Disney Pictures,1999,89 min.,,432
“Traffic – Macht des Kartells”,"Michael Douglas, Benicio Del Toro, Don Cheadle, Catherine Zeta-Jones, Luis Guzmán, Dennis Quaid, Miguel Ferrer, Albert Finney, James Brolin",USA Films,2000,141 min.,,1305
“Training Day”,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes, Terry Crews, Peter Greene",Warner Bros.,2001,117 min.,,Kauf (BD)
“Tränen der Sonne”,"Bruce Willis, Monica Bellucci, Tom Skerritt, Fionnula Flanagan",Columbia Pictures,2003,116 min.,,160
“Transformers”,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson, Jon Voight, John Turturro, Kevin Dunn, Bernie Mac, Glenn Morshower",Paramount Pictures/ DreamWorks Pictures,2007,138 min.,,Kauf (DVD + BD)
“Transformers – Die Rache”,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson, John Turturro, Kevin Dunn, Glenn Morshower, Rainn Wilson",Paramount Pictures/ DreamWorks Pictures,2009,150 min.,,Kauf (BD)
“Transformers 3”,"Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, Tyrese Gibson, John Turturro, Patrick Dempsey, Frances McDormand, John Malkovich, Kevin Dunn, Alan Tudyk, Ken Jeong, Glenn Morshower, Buzz Aldrin, Elya Baskin, Mindy Sterling, Michael Dorn",Paramount Pictures,2011,154 min.,,Kauf (BD)
“Tremors – Im Land der Raketenwürmer”,"Kevin Bacon, Fred Ward",Universal Pictures,1990,91 min.,295,322/ Kauf (BD)
“Tremors II – Aftershocks”,"Fred Ward, Michael Gross",Universal Pictures,1996,95 min.,,191
“Trennung mit Hindernissen”,"Vince Vaughn, Jennifer Aniston, Joey Lauren Adams, Jon Favreau, Jason Bateman, Justin Long, Ann-Margret, Vincent D’Onofrio",Universal Pictures,2006,102 min.,,764
“Tropic Thunder”,"Ben Stiller, Jack Black, Robert Downey Jr., Nick Nolte, Bill Hader, Tyra Banks, Matthew McConaughey, Tom Cruise, Jon Voight, Jennifer Love Hewitt, Jason Bateman, Alicia Silverstone, Tobey Maguire, Kevin Pollak",Paramount Pictures/ DreamWorks Pictures,2008,102 min.,,Kauf
“True Lies – Wahre Lügen”,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Tia Carrere, Bill Paxton, Charlton Heston",20th Century Fox,1994,135 min.,367,657
“True Romance”,"Christian Slater, Patricia Arquette, Dennis Hopper, Gary Oldman, Christopher Walken, Brad Pitt, Val Kilmer, Samuel L. Jackson",Warner Bros.,1993,115 min.,283,1087
“Turbulence 3: Heavy Metal”,"Gabrielle Anwar, Joe Mantegna, Rutger Hauer",Trimark Pictures,2001,92 min.,,
“Turbulenzen – und andere Katastrophen”,"John Cusack, Billy Bob Thornton, Angelina Jolie, Cate Blanchett, Kurt Fuller",20th Century Fox,1999,118 min.,215,921
“U-571”,"Matthew McConaughey, Harvey Keitel, Bill Paxton, Jon Bon Jovi, Jack Noseworthy",Universal Pictures,2000,111 min.,,1283
“U-Turn – Kein Weg zurück”,"Sean Penn, Jennifer Lopez, Nick Nolte, Billy Bob Thornton, Jon Voight, Claire Danes, Joaquin Phoenix, Julie Hagerty, Abraham Benrubi, Laurie Metcalf, Liv Tyler",TriStar,1997,119 min.,417,
“Unbreakable – Unzerbrechlich”,"Bruce Willis, Samuel L. Jackson, Robin Wright, M. Night Shyamalan",Touchstone Pictures,2000,102 min.,401,
“...und dann kam Polly”,"Ben Stiller, Jennifer Aniston, Philip Seymour Hoffman, Alec Baldwin, Hank Azaria, Bryan Brown",Universal Pictures,2004,86 min.,,209
“...und ewig schleichen die Erben” ,"Eric Idle, Rick Moranis, Catherine Zeta-Jones, Barbara Hershey, John Cleese",Universal Pictures,1993,84 min.,,906
“Und täglich grüßt das Murmeltier”,"Bill Murray, Andie MacDowell, Rick Ducommun, Harold Ramis",Columbia Pictures,1993,97 min.,285,1475
“Und wieder 48 Stunden”,"Eddie Murphy, Nick Nolte, Brion James, Kevin Tighe, Ed O’Ross, Bernie Casey, Ted Markland, Biff Yeager, Benjamin Lum, Frank McRae",Paramount Pictures,1990,88 min.,,42
“Under Suspicion – Mörderisches Spiel”,"Gene Heckman, Morgan Freeman, Thomas Jane, Monica Bellucci",20th Century Fox,2000,107 min.,12,
“Undercover Blues”,"Dennis Quaid, Kathleen Turner, Tom Arnold",Metro Goldwyn Mayer,1992,86 min.,,589
“Underworld”,Kate Beckinsale,Lakeshore Entertainment/Screen Gems Inc.,2003,128 min.,,299
“Unheimliche Begegnung der Dritten Art – Die neue Version”,"Richard Dreyfuss, Teri Garr, Roberts Blossom, Cary Guffey, Lance Henriksen, Carl Weathers",Columbia Pictures,1977,123 min.,500,
“Universal Soldier”,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker, Ralph Moeller, Jerry Orbach, Leon Rippy, Tom Lister Jr.",TriStar,1992,98 min.,421,855
“Universal Soldier – Brüder unter Waffen”,"Gary Busey, Burt Reynolds",The Movie Channel,1998,88 min.,47,
“Unknown Identity”,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, Frank Langella, Sebastian Koch, Stipe Erceg, Karl Markovics",Warner Bros.,2011,113 min.,,Kauf (BD)
“Unterwegs mit Jungs”,"Drew Barrymore, Steve Zahn, Brittany Murphy, James Woods, Rosie Perez, Sara Gilbert, Maggie Gyllenhaal",Columbia Pictures,2001,126 min.,,Digital Copy
“Untraceable”,"Diane Lane, Billy Burke, Colin Hanks",Universal Pictures / Screen Gems,2008,97 min.,,1137
“Untreu”,"Diane Lane, Richard Gere, Margaret Colin",20th Century Fox,2002,118 min.,472,1412
“Unzertrennlich”,"Matt Damon, Greg Kinnear, Eva Mendes, Cher, Seymour Cassel, Lin Shaye, Jay Leno, Luke Wilson, Meryl Streep",20th Century Fox,2003,114 min.,,158
"""Up in the Air""","George Clooney, Vera Farmiga, Jason Bateman, Melanie Lynskey, Sam Elliott, Zach Galifianakis",Paramount Pictures / DreamWorks Pictures,2009,105 min.,,1424
“Valkenvania – Die wunderbare Welt des Wahnsinns”,"Chevy Chase, Demi Moore, Dan Aykroyd, John Candy",Warner Bros.,1990,89 min.,15,402
“Vanilla Sky”,"Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell, Jason Lee, Tilda Swinton, Michael Shannon, Johnny Galecki, Ken Leung, Conan O’Brien, Tommy Lee, William Mapother, Steven Spielberg",Paramount Pictures,2001,130 min.,,Digital Copy
“Vater der Braut”,"Steve Martin, Diane Keaton, Kimberly Williams, Kieran Culkin, Martin Short, Eugene Levy",Touchstone Pictures,1991,101 min.,,649
“Vaterfreuden”,"Matthias Schweighöfer, Isabell Polak, Tom Beck, Tim Sander, Detlev Buck, Milan Peschel",Warner Bros.,2014,110 min.,,Kauf (BD)
“Vaterland”,"Rutger Hauer, Miranda Richardson",Home Box Office (HBO),1994,106 min.,455,
“Verführung einer Fremden”,"Halle Berry, Bruce Willis, Giovanni Ribisi, Heidi Klum",Columbia Pictures,2007,104 min.,,Kauf
“Vergiss mein nicht!”,"Jim Carrey, Kate Winslet, Elijah Wood, Mark Ruffalo, Kirsten Dunst, Tom Wilkinson",Constantin Film/ Focus Features,2004,103 min.,,858
“Verhandlungssache”,"Samuel L. Jackson, Kevin Spacey, David Morse",Warner Bros.,1998,133 min.,313,752
“Verliebt in die Braut”,"Patrick Dempsey, Michelle Monaghan, Sydney Pollack, James Sikking",Columbia Pictures,2008,97 min.,,Kauf
“Verlockende Falle”,"Sean Connery, Catherine Zeta-Jones, Will Patton, Ving Rhames",20th Century Fox,1999,107 min.,340,1377
“Verrückt nach Mary”,"Cameron Diaz, Matt Dillon, Keith David (I)",20th Century Fox,1998,114 min.,242,1778
"""Verrückt nach Steve""","Sandra Bullock, Thomas Haden Church, Bradley Cooper, Ken Jeong, DJ Qualls, Keith David",20th Century Fox,2009,95 min.,,Kauf
“Verrückte Weihnachten”,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh, Cheech Marin",Columbia Pictures,2004,95 min.,,469
“Vertical Limit”,"Chris O’Donnell, Robin Tunney, Bill Paxton, Scott Glenn, Izabella Scorupco, Alexander Siddig",Columbia Pictures,2000,120 min.,424,Kauf (BD)
“Vertrauter Feind”,"Harrison Ford, Brad Pitt, Margaret Colin, Mitch Ryan, Treat Williams",Columbia,,103 min.,223,1665
“Very Bad Things – Alptraum ohne Ende”,"Christian Slater, Cameron Diaz, Daniel Stern, Jeanne Tripplehorn",Polygram Films,1998,95 min.,,936
"""Vidocq""",Gérard Depardieu,Studio Canal,2001,93 min.,,640
“Vier Fäuste für ein Halleluja”,"Bud Spencer, Terence Hill",AVCO Embassy Pictures,1972,113 min.,,619/ Kauf
“Vier Fäuste gegen Rio”,"Bud Spencer, Terence Hill",Trans-Cinema TV,1984,99 min.,,
"""Vier für ein Ave Maria""","Eli Wallach, Bud Spencer, Terence Hill, Brock Peters, Kevin McCarthy",Paramount Pictures,1968,114 min.,,841
“Vier Hochzeiten und ein Todesfall”,"Hugh Grant, Andie MacDowell, John Hannah, Kristin Scott Thomas, Rowan Atkinson",Polygram Films,1994,112 min.,,Kauf
“Vier lieben Dich”,"Michael Keaton, Andie MacDowell, Harris Yulin, Richard Masur, Eugene Levy, John de Lancie, Brian Doyle-Murray, Obba Babatundé, Robert Ridgely, Glenn Shadix",Columbia Pictures,1996,112 min.,,1151
“Virus”,"Jamie Lee Curtis, Donald Sutherland, William Baldwin, Cliff Curtis",Universal Pictures,1999,95 min.,284,
“Voll Normaaal”,"Tom Gerhardt, Hilmi Sözer, Veronica Ferres, Gruschenka Stevens, Uwe Fellensiek, Rolf Zacher, Katja Flint, Dolly Buster, Campino",Neue Constantin Film,1994,91 min.,,91
“Von allen Geistern besessen”,"Leslie Nielsen, Linda Blair, Anthony Starke, Ned Beatty, Lana Schwab, Gene Okerlund",New Line Cinema,1990,80 min.,,Kauf
“Wachgeküsst”,"Holly Hunter, Danny DeVito, Queen Latifah, Richard Schiff, Elias Koteas",New Line Cinema,1998,95 min.,353,1029
“Wag the Dog”,"Dustin Hoffman, Robert De Niro, Anne Heche, Woody Harrelson, Denis Leary, James Belushi, Bernard Hocke, Kirsten Dunst",New Line Cinema,1997,90 min.,230,1241
“Wall Street”,"Charlie Sheen, Michael Douglas, Daryl Hannah, Martin Sheen, John C. McGinley, Hal Holbrook, James Karen, John Capodice, Terence Stamp, Sean Young, Paul Guilfoyle, James Spader, Saul Rubinek, Oliver Stone",20th Century Fox,1987,120 min.,507,727
“Wall-E – Der Letzte räumt die Erde auf”,Fred Willard,Walt Disney Pictures,2008,95 min.,,1228
“WarGames”,"Matthew Broderick, Dabney Coleman, Barry Corbin, Michael Ensign, James Tolkan, Michael Madsen, Eddie Deezen",Metro Goldwyn Mayer/United Artists,1983,108 min.,,860/ Kauf
“Warum Männer nicht zuhören und Frauen schlecht einparken”,"Benno Fürmann, Jessica Schwarz, Uwe Ochsenknecht, Sasha, Katja Flint, Thomas Kretschmann, Peter Lohmeyer",Constantin Film,2007,98 min.,,1186
“Was das Herz begehrt”,"Jack Nicholson, Diane Keaton, Keanu Reeves, Amanda Peet, Frances McDormand, Jon Favreau, Rachel Ticotin",Columbia Pictures/ Warner Bros.,2003,123 min.,,255
“Was Frauen wollen”,"Mel Gibson, Helen Hunt, Marisa Tomei, Ashley Johnson (I), Bette Midler",Paramount Pictures,2000,121 min.,406,776
"“Was nicht passt, wird passend gemacht”","Willi Thomczyk, Ralf Richter, Hilmi Sözer, Stefan Jürgens",Senator Film,2002,97 min.,458,945
“Watchmen”,"Malin Akerman, Billy Crudup, Jeffrey Dean Morgan, Carla Gugino, Matt Frewer",Paramount Pictures/ Warner Bros.,2009,162 min.,,Kauf (BD)
“Waterworld”,"Kevin Costner, Rick Aviles, Jack Kehler, Jeanne Tripplehorn, Michael Jeter, Dennis Hopper, Jack Black, Kim Coates",Universal Pictures,1995,129 min.,470,Kauf (BD)
“Wayne’s World”,"Mike Myers, Dana Carvey, Tia Carrere, Rob Lowe, Alice Cooper, Chris Farley, Ed O’Neill (I), Meat Loaf",Paramount Pictures,1991,90 min.,282,48
“Wayne’s World 2”,"Mike Myers, Dana Carvey, Tia Carrere, Christopher Walken, Chris Farley, Kim Basinger, Ed O’Neill (I), Charlton Heston, Heather Locklear, Drew Barrymore, Jay Leno, Steven Tyler, Ted McGinley",Paramount Pictures,1993,90 min.,306,1290
“Wehrlos – Die Tochter des Generals”,"John Travolta, Madeleine Stowe, James Cromwell, James Woods",Paramount Pictures,1999,112 min.,331,
"“Weiblich, ledig, jung sucht...”","Bridget Fonda, Jennifer Jason Leigh, Steven Weber, Stephen Tobolowsky",Columbia Pictures,1992,103 min.,420,1300
“Weiße Jungs bringen’s nicht”,"Wesley Snipes, Woody Harrelson, Rosie Perez, Alex Trebek, Gary Payton",20th Century Fox,1992,113 min.,,180
“Welcome to the Jungle”,"Dwayne Johnson, Seann William Scott, Rosario Dawson, Christopher Walken, Arnold Schwarzenegger",Columbia Pictures/ Universal Pictures,2003,100 min.,,197
“Wer ist Harry Crumb?”,"John Candy, Jeffrey Jones, Barry Corbin, Wesley Mann, James Belushi",TriStar,1989,86 min.,,90
“Werner – Beinhart”,,Constantin Film,1990,89 min.,295,
“Werner – Das muss kesseln!!!”,,Senator Film,1996,80 min.,355,1208
“Werner – Volles Rooäää!!!”,,Constantin Film,1999,77 min.,382,
“Werner – Gekotzt wird später!”,,Constantin Film,2003,77 min.,,200
“Wes Craven presents Dracula”,"Christopher Plummer, Omar Epps, Jeri Ryan",Miramax Films/ Dimension Films,2000,96 min.,,
“White Sands – Der große Deal”,"Willem Dafoe, Samuel L. Jackson, Mickey Rourke",Morgan Creek Productions,1992,94 min.,271,
“Wild Christmas”,"Ben Affleck, Gary Sinise, Charlize Theron, Dennis Farina, Danny Trejo, Isaac Hayes",Dimension Films,2000,100 min.,12,291
“Wild Things”,"Matt Dillon, Kevin Bacon, Neve Campbell, Denise Richards, Bill Murray, Robert Wagner",Mandalay Entertainment,1998,102 min.,321,1683
“Wild Wild West”,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek, M. Emmet Walsh, Ted Levine",Warner Bros.,1999,101 min.,398,922
“William Shakespeares Romeo + Julia”,"Leonardo DiCaprio, Claire Danes, John Leguizamo, Harold Perrineau, Pete Postlethwaite, Paul Sorvino, Brian Dennehy, Paul Rudd, Vondie Curtis-Hall, M. Emmet Walsh",20th Century Fox,1996,115 min.,,74/ Kauf
“Windtalkers”,"Nicolas Cage, Peter Stormare, Noah Emmerich, Mark Ruffalo, Christian Slater, Frances O’Connor",Metro Goldwyn Mayer,2002,129 min.,,25
“Wing Commander”,"Freddie Prinze Jr., Saffron Burows, Jürgen Prochnow, David Warner",20th Century Fox,1999,96 min.,456,
"""Wir sind die Millers""","Jason Sudeikis, Jennifer Aniston, Emma Roberts, Will Poulter, Ed Helms, Nick Offerman, Kathryn Hahn, Luis Guzmán",Warner Bros.,2013,118 min.,,Kauf (BD)
